BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
K447,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M134,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M316,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,P,U,U,U,U,No Data,No Data,No Data,U,U,U,U,U,U,No Data,No Data,U,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
Q072,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
Q520,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
Q877,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
R721,06/01/2005 12:00:00 AM,06/01/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,P,P,P,P,P,P,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K483,06/01/2005 12:00:00 AM,06/02/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K052,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,P,No Data,No Data,No Data,P
K061,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K161,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,No Data,No Data,No Data,P
K189,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K198,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,WD,WD,P,WD,WD,P,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
K208,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,P,No Data,No Data,WD,WD,WD,P,P,P,P,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,P,WD,P,P,No Data,No Data,No Data,P
K251,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,WD,WD,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
K312,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K539,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,P,P,U,P,P,No Data,No Data,No Data,P,P,P,P,P,WD,No Data,No Data,P,P,P,P,P,WD,WD,WD,WD,P,P,P,WD,WD,WD,WD,WD,WD,P,U,P,P,No Data,No Data,No Data,P
K587,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,U,P,P,U,U,No Data,No Data,No Data,U,U,U,P,P,U,No Data,No Data,U,U,U,P,P,P,P,P,P,P,P,U,P,U,WD,P,P,U,U,U,U,U,No Data,No Data,No Data,U
K625,07/01/2006 12:00:00 AM,09/25/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,WD,P,P,WD,No Data,No Data,P,P,P,WD,WD,P,P,WD,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
K246,07/01/2006 12:00:00 AM,09/26/2006 12:00:00 AM,P,P,P,P,U,No Data,No Data,No Data,P,P,P,P,U,U,No Data,No Data,P,P,U,P,P,P,P,P,U,P,P,P,P,P,P,P,P,P,P,U,P,U,No Data,No Data,No Data,U
K415,07/01/2006 12:00:00 AM,09/26/2006 12:00:00 AM,P,P,P,U,P,No Data,No Data,No Data,P,P,U,P,U,U,No Data,No Data,U,P,U,P,P,P,P,WD,P,P,U,P,U,U,WD,P,P,P,U,U,U,U,No Data,No Data,No Data,U
K600,07/01/2006 12:00:00 AM,09/26/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,U,P,P,WD,P,P,U,P,P,P,WD,P,P,P,P,P,P,P,U,P,No Data,No Data,No Data,P
K236,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,WD,WD,P,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,P,WD,P,WD,WD,P,No Data,No Data,No Data,WD
K244,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,P,WD,P,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
K254,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,WD,WD,P,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,No Data,No Data,No Data,WD
K278,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
K469,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,P,P,P,U,P,No Data,No Data,No Data,P,P,U,P,P,U,No Data,No Data,P,P,U,P,P,U,P,P,WD,P,P,U,P,P,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
K479,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,WD,WD,P,WD,No Data,No Data,WD,P,P,P,P,WD,P,WD,P,P,P,WD,WD,WD,WD,P,P,WD,P,P,P,P,No Data,No Data,No Data,P
K555,07/01/2006 12:00:00 AM,09/27/2006 12:00:00 AM,WD,P,WD,P,WD,No Data,No Data,No Data,P,P,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,WD
K195,07/01/2006 12:00:00 AM,09/28/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,No Data,No Data,No Data,WD
K397,07/01/2006 12:00:00 AM,09/28/2006 12:00:00 AM,P,P,U,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,U,P,P,P,U,P,P,P,P,P,P,P,P,P,P,P,P,P,U,P,No Data,No Data,No Data,P
K092,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
K109,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,No Data,No Data,No Data,WD
K119,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,P,P,WD,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,P,WD,WD,WD,WD,P,P,P,P,WD,WD,WD,P,P,WD,P,WD,No Data,No Data,No Data,P
K134,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K167,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,U,U,P,U,No Data,No Data,U,P,U,P,P,P,U,P,P,P,P,P,P,U,WD,P,WD,P,P,P,U,P,No Data,No Data,No Data,P
K194,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K203,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,P,P,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,No Data,No Data,No Data,P
K207,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,P,P,No Data,No Data,P,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
M063,07/01/2006 12:00:00 AM,01/18/2007 12:00:00 AM,P,P,U,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K217,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
K221,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,WD,P,P,P,P,No Data,No Data,P,WD,U,P,P,P,P,WD,P,P,P,WD,WD,P,WD,P,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K222,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K249,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K269,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
K316,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,U,P,P,U,No Data,No Data,U,P,P,P,P,P,WD,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
K326,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K361,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,No Data,No Data,No Data,P
K390,07/01/2006 12:00:00 AM,10/03/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,U,WD,P,P,P,WD,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K068,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,P,P,U,U,U,No Data,No Data,No Data,U,P,P,P,P,WD,No Data,No Data,P,P,U,P,P,P,P,WD,P,P,P,WD,WD,WD,WD,P,WD,WD,WD,U,P,P,No Data,No Data,No Data,P
K191,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K219,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K276,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,P,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K285,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,P,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
K353,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,P,P,P,P,U,No Data,No Data,No Data,P,P,U,P,P,P,No Data,No Data,P,P,U,P,P,P,P,WD,WD,P,P,P,WD,P,WD,WD,P,P,U,U,P,U,No Data,No Data,No Data,U
K354,07/01/2006 12:00:00 AM,10/05/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,WD,P,P,P,No Data,No Data,P,WD,U,P,P,P,P,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K091,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,P,WD,WD,P,WD,No Data,No Data,No Data,WD,P,WD,WD,P,P,No Data,No Data,P,P,P,P,P,P,WD,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K114,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,P,P,U,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,WD,P,P,WD,P,P,P,WD,WD,WD,WD,P,P,WD,P,P,P,P,No Data,No Data,No Data,P
K135,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,P,WD,WD,P,WD,No Data,No Data,No Data,WD,P,P,WD,WD,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,WD,WD,P,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
K232,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,P,P,U,U,U,No Data,No Data,No Data,U,P,U,P,P,P,No Data,No Data,P,P,U,WD,WD,P,P,P,WD,P,P,U,WD,P,WD,WD,P,P,U,U,P,U,No Data,No Data,No Data,U
K233,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,WD,P,P,P,P,No Data,No Data,P,P,P,P,P,WD,P,WD,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
K252,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,U,U,U,U,P,No Data,No Data,No Data,U,P,U,P,U,U,No Data,No Data,U,P,U,U,U,P,U,P,U,U,P,P,U,P,P,U,P,P,P,P,P,U,No Data,No Data,No Data,P
K268,07/01/2006 12:00:00 AM,10/06/2006 12:00:00 AM,P,P,P,U,P,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,WD,P,P,P,P,U,P,P,No Data,No Data,No Data,P
K197,07/01/2006 12:00:00 AM,10/10/2006 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K352,07/01/2006 12:00:00 AM,10/10/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,U,WD,P,P,No Data,No Data,P,P,U,P,P,P,P,WD,WD,P,P,P,WD,P,WD,WD,P,P,U,P,P,P,No Data,No Data,No Data,P
K495,07/01/2006 12:00:00 AM,10/10/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,WD,No Data,No Data,P,WD,P,P,WD,WD,P,WD,P,WD,P,WD,WD,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K002,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K022,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,WD,P,WD,WD,P,WD,WD,P,WD,WD,WD,WD,P,WD,P,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K206,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K289,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,U,P,WD,U,P,No Data,No Data,P,WD,WD,P,P,P,P,WD,P,P,P,WD,WD,WD,WD,P,P,WD,P,WD,WD,P,No Data,No Data,No Data,P
K394,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,P,P,WD,WD,WD,No Data,No Data,No Data,WD,P,P,WD,P,WD,No Data,No Data,P,P,P,WD,P,P,P,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,No Data,No Data,No Data,P
K500,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,U,U,U,U,U,No Data,No Data,No Data,U,P,U,P,P,P,No Data,No Data,P,U,U,P,U,U,P,P,P,U,P,U,P,P,WD,WD,P,P,U,U,U,P,No Data,No Data,No Data,U
K515,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,U,P,P,P,U,No Data,No Data,No Data,P,U,U,U,P,U,No Data,No Data,U,P,U,U,P,U,P,P,P,U,P,U,P,U,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
K585,07/01/2006 12:00:00 AM,10/11/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,U,P,P,WD,U,P,P,P,P,P,P,U,WD,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
K181,07/01/2006 12:00:00 AM,10/12/2006 12:00:00 AM,P,P,U,P,U,No Data,No Data,No Data,P,U,U,P,P,P,No Data,No Data,P,P,U,WD,WD,P,P,P,WD,P,P,U,P,U,WD,WD,P,P,P,P,U,U,No Data,No Data,No Data,P
K277,07/01/2006 12:00:00 AM,10/12/2006 12:00:00 AM,WD,WD,P,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
X117,07/01/2006 12:00:00 AM,10/12/2006 12:00:00 AM,U,U,P,U,U,No Data,No Data,No Data,U,P,P,P,U,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,U,P,U,P,P,P,P,U,U,P,U,No Data,No Data,No Data,U
K241,07/01/2006 12:00:00 AM,10/13/2006 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,P,WD,WD,P,No Data,No Data,WD,WD,WD,P,P,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,No Data,No Data,No Data,WD
K255,07/01/2006 12:00:00 AM,10/13/2006 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K014,07/01/2006 12:00:00 AM,10/16/2006 12:00:00 AM,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,P,U,U,U,P,P,P,U,P,U,P,U,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
K078,07/01/2006 12:00:00 AM,10/16/2006 12:00:00 AM,U,P,U,U,U,No Data,No Data,No Data,U,U,U,P,P,U,No Data,No Data,U,P,U,P,P,P,P,P,P,P,U,P,P,P,WD,P,WD,P,U,U,P,U,No Data,No Data,No Data,U
K240,07/01/2006 12:00:00 AM,10/16/2006 12:00:00 AM,U,U,P,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,U,U,P,U,U,P,P,P,P,P,P,P,U,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
X229,07/01/2006 12:00:00 AM,10/16/2006 12:00:00 AM,P,P,P,P,U,No Data,No Data,No Data,P,U,U,P,P,P,No Data,No Data,P,U,U,P,P,P,U,P,P,P,P,P,P,P,P,P,P,P,U,P,P,U,No Data,No Data,No Data,U
X339,07/01/2006 12:00:00 AM,10/16/2006 12:00:00 AM,U,U,P,P,P,No Data,No Data,No Data,P,U,U,P,U,P,No Data,No Data,U,U,U,P,P,P,U,P,U,U,P,U,P,P,WD,P,P,P,P,U,P,U,No Data,No Data,No Data,U
K138,07/01/2006 12:00:00 AM,10/17/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,P,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
X166,07/01/2006 12:00:00 AM,10/17/2006 12:00:00 AM,U,U,U,U,U,No Data,No Data,No Data,U,U,U,U,U,U,No Data,No Data,U,U,U,P,U,U,U,U,P,U,U,U,P,U,WD,P,P,P,U,U,U,U,No Data,No Data,No Data,U
X313,07/01/2006 12:00:00 AM,10/17/2006 12:00:00 AM,U,P,P,P,U,No Data,No Data,No Data,P,U,U,P,U,U,No Data,No Data,U,P,U,P,U,P,U,P,U,U,U,P,P,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
X328,07/01/2006 12:00:00 AM,10/17/2006 12:00:00 AM,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,U,U,P,U,U,U,P,U,U,U,U,P,U,P,U,U,U,U,U,U,U,No Data,No Data,No Data,U
X399,07/01/2006 12:00:00 AM,10/17/2006 12:00:00 AM,P,P,WD,P,P,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,U,WD,WD,P,P,U,P,U,P,No Data,No Data,No Data,P
